# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "braker_output/braker.gtf" "-o" "gene_counts.txt" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "Control_1.bam" "Control_2.bam" "Control_3.bam" "Heat_treated_1.bam" "Heat_treated_2.bam" "Heat_treated_3.bam" 
Geneid	Chr	Start	End	Strand	Length	Control_1.bam	Control_2.bam	Control_3.bam	Heat_treated_1.bam	Heat_treated_2.bam	Heat_treated_3.bam
g11	contig_11_pilon;contig_11_pilon	499777;500641	499969;500906	-;-	459	40	33	33	125	15	87
g12	contig_11_pilon;contig_11_pilon;contig_11_pilon	624352;624873;625474	624571;625311;625711	+;+;+	897	12	31	7	29	0	27
g13	contig_11_pilon;contig_11_pilon;contig_11_pilon	685559;686022;686727	685710;686538;687299	+;+;+	1242	47	426	63	3	8	10
g14	contig_16_pilon;contig_16_pilon;contig_16_pilon;contig_16_pilon;contig_16_pilon;contig_16_pilon	73876;74150;74588;75212;75525;75690	73946;74258;74845;75319;75611;75842	+;+;+;+;+;+	786	22	65	41	107	45	85
g15	contig_1_pilon;contig_1_pilon;contig_1_pilon	61132;61891;62307	61739;62081;62938	+;+;+	1431	1719	1609	1850	923	513	1152
g16	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	149977;150596;151249;151786;152067;152792	150168;150763;151425;151867;152244;152924	-;-;-;-;-;-	930	1126	1423	1216	1130	1043	2307
g17	contig_1_pilon;contig_1_pilon;contig_1_pilon	176120;176359;176823	176188;176475;177005	+;+;+	369	653	616	456	1018	1034	853
g18	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	472760;473480;474049;474840	473053;473772;474457;475061	-;-;-;-	1218	1403	1041	802	412	197	992
g19	contig_1_pilon;contig_1_pilon	503824;504468	504331;504883	+;+	924	329	370	314	216	76	314
g20	contig_1_pilon;contig_1_pilon;contig_1_pilon	542379;543582;543953	542637;543790;544531	+;+;+	1047	699	1212	2031	1838	1255	1269
g21	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	547009;547768;548079;548393;548752;548965;549307;549638	547505;547834;548153;548444;548837;549039;549401;549764	+;+;+;+;+;+;+;+	1074	849	1041	1061	1704	1552	1576
g22	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	62398;63213;63505;64573	62850;63341;64431;64896	-;-;-;-	1833	1624	1814	1777	284	261	414
g23	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	105843;106305;106631;108533;110208;110894;113288;115624;116417;117345	105865;106446;108238;110086;110762;112753;115456;116190;117058;117395	-;-;-;-;-;-;-;-;-;-	9171	3548	3828	3592	2295	796	2556
g24	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	138024;138388;139003;139251;139575;139983;140336	138241;138582;139064;139317;139693;140159;140451	+;+;+;+;+;+;+	954	680	604	468	1089	602	895
g25	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	253300;253627;253844;254107;254380;254816;255045	253471;253743;253982;254277;254647;254907;255291	+;+;+;+;+;+;+	1206	3404	2687	2687	4756	4068	5953
g26	contig_28_pilon;contig_28_pilon	286213;286922	286601;287015	+;+	483	11028	10200	13375	19929	21580	15752
g27	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	330468;330755;330956;331292;332417;332634;333091;333343	330643;330863;331204;332328;332541;332965;333232;333608	+;+;+;+;+;+;+;+	2436	159	141	105	87	32	50
g28	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	340352;340691;341101;341568	340482;340950;341231;341801	+;+;+;+	756	590	627	423	311	239	494
g29	contig_28_pilon;contig_28_pilon	345776;347138	346366;347425	+;+	879	5679	1326	1665	2903	2788	3911
g30	contig_28_pilon;contig_28_pilon	364959;365412	365189;365600	+;+	420	572	117	144	728	1119	767
g31	contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon;contig_28_pilon	365865;366274;367484;367996;368271;368815;369129;369638;370036;370431	366052;366757;367802;368175;368554;368931;369382;369821;370314;370613	+;+;+;+;+;+;+;+;+;+	2472	10608	1080	1005	4530	9707	4535
g32	contig_28_pilon;contig_28_pilon;contig_28_pilon	424546;424902;425135	424776;425037;425385	-;-;-	618	3736	4961	3857	311	1600	1048
g33	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	52306;52938;53397;53621	52614;53096;53474;53710	-;-;-;-	636	370	600	503	259	156	416
g34	contig_2_pilon;contig_2_pilon	95233;96339	96204;97397	+;+	2031	802	2515	2549	1102	817	1326
g35	contig_2_pilon;contig_2_pilon;contig_2_pilon	165940;167122;167974	166843;167469;168554	-;-;-	1833	1199	1635	1515	897	750	1290
g36	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	183268;183664;184476;185046;185279;185627;185929;186218	183379;184121;184882;185169;185353;185744;185999;186595	+;+;+;+;+;+;+;+	1743	1845	334	236	1084	733	891
g37	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	250327;251268;251620;251979;252368;252616	250690;251368;251717;252220;252420;252822	+;+;+;+;+;+	1065	1144	1207	1266	1472	1513	1375
g38	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	260064;260777;261253;261511	260381;260948;261329;261675	+;+;+;+	732	264	251	276	87	21	203
g39	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	310449;311105;311394;311743;311996;312282;312459;312658;312859;313272;313662;314199;314571;314855;315094;315750;316141;316365;316590;316936;317194;317562	310837;311225;311482;311827;312161;312358;312512;312748;313160;313553;313978;314463;314727;314998;315614;316040;316224;316498;316817;317107;317448;317834	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4497	941	887	1635	123	76	193
g40	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	378843;379887;380286;380925;381722;382078;382530;382956	379505;380130;380450;381349;381922;382321;382700;383314	-;-;-;-;-;-;-;-	2472	505	1282	1327	759	779	777
g41	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	431352;431554;431735;431908;432198;432440	431435;431627;431806;432031;432302;432547	-;-;-;-;-;-	567	5678	1770	2873	6678	11126	3232
g42	contig_2_pilon;contig_2_pilon	470473;470933	470814;471196	+;+	606	99	341	371	335	259	170
g43	contig_2_pilon;contig_2_pilon	477588;479328	478010;479705	-;-	801	1355	1492	1565	627	875	1425
g44	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	525090;525471;526065;526481;526781;527012	525262;525636;526229;526612;526845;527531	-;-;-;-;-;-	1221	1014	2965	4590	2058	875	1660
g45	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	607252;607903;608365;608693;609319;609773;610050	607557;608034;608424;608769;609385;609836;610105	+;+;+;+;+;+;+	762	296	312	350	363	233	358
g46	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	614991;615584;615863;616646;616909	615477;615742;616452;616822;617313	-;-;-;-;-	1818	2595	6375	7474	1226	751	1464
g47	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	633427;633821;634208;634587;634980;635271	633522;633937;634333;634762;635114;635484	-;-;-;-;-;-	864	23971	5028	8357	2475	3702	5985
g48	contig_2_pilon;contig_2_pilon	646428;647828	647726;647896	+;+	1368	951	837	1095	1305	647	1443
g49	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	719852;720403;720649;721402;721605;721922	720208;720504;721251;721469;721765;721992	-;-;-;-;-;-	1362	979	542	658	484	374	610
g50	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	771803;772169;772463;772845	771875;772240;772675;772912	+;+;+;+	426	235	2182	1461	217	198	252
g51	contig_2_pilon;contig_2_pilon;contig_2_pilon	786284;786752;788240	786510;788062;789674	+;+;+	2973	1027	2867	2659	298	231	545
g52	contig_2_pilon;contig_2_pilon;contig_2_pilon	794005;794907;795392	794612;795262;795573	-;-;-	1146	517	371	313	562	345	436
g53	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	803213;803826;804349;804678	803683;804149;804508;804943	+;+;+;+	1221	1825	2562	3302	254	558	940
g54	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	807223;808379;808814;809149;809622	807541;808476;808948;809250;809690	+;+;+;+;+	723	521	430	435	296	121	579
g55	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	847128;847469;847650;848340;848675	847317;847553;847816;848584;849655	-;-;-;-;-	1668	2398	3268	4685	2944	3010	3407
g56	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	932487;932927;933203;933523;933884	932742;933057;933442;933778;934101	+;+;+;+;+	1101	97	173	207	83	51	102
g57	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1017466;1017745;1018161;1018745;1019092	1017621;1018011;1018388;1018861;1020063	+;+;+;+;+	1740	1609	2573	2847	1027	1257	1429
g58	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1065368;1065712;1066096;1066288;1066589;1066914;1067220;1067492;1067687;1067998;1068187;1068560;1068796;1069177;1069535	1065552;1065858;1066167;1066434;1066660;1066985;1067291;1067563;1067758;1068069;1068261;1068706;1069003;1069305;1069747	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1755	2884	893	1401	2073	1509	3412
g59	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1195042;1195770;1196500;1196999;1197490;1197985	1195512;1196294;1196674;1197187;1197854;1198137	+;+;+;+;+;+	1878	700	659	482	1415	804	1296
g60	contig_2_pilon;contig_2_pilon	1282687;1282919	1282724;1283204	-;-	324	43	27	46	27	9	39
g61	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1323377;1323780;1324028;1324256;1324764;1325143;1325424	1323579;1323842;1324144;1324529;1324922;1325294;1325586	+;+;+;+;+;+;+	1131	182	254	280	103	103	173
g62	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1326244;1326915;1327379;1327754	1326481;1327103;1327431;1328290	-;-;-;-	1017	197	188	336	344	103	493
g63	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1336947;1337354;1337718;1337917;1338500	1337146;1337504;1337817;1338416;1338721	-;-;-;-;-	1173	526	533	607	251	359	312
g64	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1407079;1407749;1408007;1408243;1408415;1408629;1408875;1409394;1409902;1410227	1407510;1407880;1408102;1408305;1408474;1408669;1408956;1409474;1409954;1410893	+;+;+;+;+;+;+;+;+;+	1707	793	769	894	4001	2338	5260
g65	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1429517;1429817;1430268;1430542	1429690;1430067;1430397;1430820	+;+;+;+	834	31615	7541	13860	23597	44175	19964
g66	contig_2_pilon;contig_2_pilon;contig_2_pilon	1475342;1475970;1476199	1475560;1476092;1477125	-;-;-	1269	147	165	102	306	105	133
g67	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1533441;1534293;1534651;1535117;1535440	1533893;1534486;1534786;1535257;1535814	+;+;+;+;+	1299	357	951	514	113	40	144
g68	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1536419;1537381;1537642;1538624	1536658;1537452;1537747;1538823	+;+;+;+	618	290	653	357	130	44	143
g69	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1598089;1598624;1599323;1599644;1599945;1600256;1600642;1601015	1598475;1599004;1599457;1599817;1599995;1600452;1600729;1601242	+;+;+;+;+;+;+;+	1641	1111	1618	1878	2157	2149	2967
g70	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1611037;1611495;1611856;1612085;1612257	1611260;1611684;1611968;1612165;1612299	-;-;-;-;-	651	57	292	95	120	118	190
g71	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	1651485;1652169;1652939;1653566;1654004	1651776;1652740;1653178;1653813;1654499	-;-;-;-;-	1848	811	873	941	1380	845	975
g72	contig_2_pilon;contig_2_pilon	1813811;1815209	1814654;1815513	+;+	1149	855	818	600	1195	845	1504
g73	contig_2_pilon;contig_2_pilon;contig_2_pilon	1857857;1858595;1859255	1858105;1858926;1859414	+;+;+	741	2432	3453	2660	2502	2363	2372
g74	contig_2_pilon;contig_2_pilon;contig_2_pilon	1860562;1861162;1861957	1860950;1861767;1862146	-;-;-	1185	810	17777	3697	883	756	982
g75	contig_2_pilon;contig_2_pilon;contig_2_pilon	1937626;1938032;1938255	1937820;1938163;1938410	-;-;-	483	515	426	389	676	527	746
g76	contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon;contig_2_pilon	2053850;2054515;2055142;2056068;2056348;2056999;2058797;2059355;2059786;2060163;2060883	2054167;2054715;2055201;2056190;2056824;2057868;2059080;2059614;2060018;2060354;2061164	+;+;+;+;+;+;+;+;+;+;+	3300	4298	4277	4375	2794	1232	4002
g77	contig_35_pilon;contig_35_pilon;contig_35_pilon	53020;54607;55161	54176;54865;55247	-;-;-	1503	977	10468	6250	343	855	1636
g78	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	134226;134568;134844;135499	134316;134686;134953;135676	-;-;-;-	498	1023	1508	1234	312	259	563
g79	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	232679;233564;233873;234401	233155;233683;234116;234675	+;+;+;+	1116	8026	3904	6800	12268	7640	12855
g80	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	250936;251629;252165;252671;252999	251418;251796;252521;252843;253251	+;+;+;+;+	1434	980	1235	1132	315	480	525
g81	contig_35_pilon;contig_35_pilon	255237;255866	255529;256274	-;-	702	3602	827	978	2328	3091	7609
g82	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	260094;260296;260690;260995;261363;261749	260168;260461;260844;261168;261524;262024	-;-;-;-;-;-	1008	508	494	332	680	371	852
g83	contig_35_pilon;contig_35_pilon	306201;306751	306344;307044	-;-	438	883	790	845	302	511	287
g84	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	385141;386069;386441;386942;387555;387753	385791;386279;386747;387334;387632;387993	+;+;+;+;+;+	1881	3293	4310	4327	1550	1503	2571
g85	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	393513;393887;394192;394396	393631;393974;394256;394684	-;-;-;-	561	1642	1736	1716	840	887	1617
g86	contig_35_pilon;contig_35_pilon	445972;447654	447198;448097	+;+	1671	1664	933	1049	467	164	659
g87	contig_35_pilon;contig_35_pilon;contig_35_pilon	449894;450294;450757	450066;450330;451125	-;-;-	579	82	167	104	43	20	88
g88	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	457073;458039;458696;459297	457502;458420;458945;459479	+;+;+;+	1245	317	755	743	361	278	595
g89	contig_35_pilon;contig_35_pilon	479357;479997	479502;480339	-;-	489	114	211	210	156	60	190
g90	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	725766;726744;727113;727576;728117	726353;726969;727338;727789;728128	+;+;+;+;+	1266	3618	2924	2672	2037	1562	3240
g91	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	734658;734880;735093;735495;735903;736062	734721;734961;735279;735668;735931;736224	-;-;-;-;-;-	699	809	4913	3185	801	1292	2544
g92	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	794494;794740;795029;795694;795966;796138	794649;794901;795311;795810;796028;796454	-;-;-;-;-;-	1098	492	362	411	143	80	260
g93	contig_35_pilon;contig_35_pilon;contig_35_pilon	939218;939734;940135	939523;939801;940225	-;-;-	465	88	224	191	79	109	138
g94	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1006190;1006616;1006969;1007385;1007685	1006355;1006737;1007001;1007466;1007725	-;-;-;-;-	444	772	937	1105	530	182	589
g95	contig_35_pilon;contig_35_pilon;contig_35_pilon	1060117;1060889;1061479	1060297;1061187;1061652	+;+;+	654	2637	593	987	2345	2419	1911
g96	contig_35_pilon;contig_35_pilon;contig_35_pilon	1079932;1080323;1080857	1080178;1080705;1081195	-;-;-	969	16403	4437	8516	8339	9304	8550
g97	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1096828;1096986;1097684;1097987;1098502	1096850;1097180;1097853;1098366;1098615	-;-;-;-;-	882	8996	1006	2857	16769	41953	20217
g98	contig_35_pilon;contig_35_pilon	1113786;1114304	1114195;1114496	+;+	603	11	10	6	118	89	17
g99	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1135158;1135431;1135652;1135931;1136256;1136540;1136826;1137151;1137387;1137586	1135253;1135505;1135765;1136032;1136353;1136633;1136888;1137261;1137485;1137765	-;-;-;-;-;-;-;-;-;-	1032	1349	1542	1452	551	434	918
g100	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1157162;1157769;1158227;1158741;1159298;1159561	1157378;1158022;1158328;1158857;1159443;1159726	+;+;+;+;+;+	1002	364	446	351	232	157	485
g101	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1172232;1172573;1172816;1173179;1173583;1174056;1174368;1174661;1175002;1175605;1175852	1172331;1172653;1172898;1173468;1173754;1174178;1174511;1174861;1175364;1175712;1176115	+;+;+;+;+;+;+;+;+;+;+	1929	1753	18431	17880	2002	1024	2066
g102	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1209367;1209629;1210066;1210429;1210679;1210909;1211245;1211497;1211862;1212126;1212375;1212708;1213061	1209450;1209716;1210241;1210533;1210777;1211058;1211337;1211697;1211953;1212254;1212480;1212799;1213238	-;-;-;-;-;-;-;-;-;-;-;-;-	1593	635	1074	1145	4842	2572	5152
g103	contig_35_pilon;contig_35_pilon	1573820;1576557	1576112;1577200	+;+	2937	100	90	64	30	12	74
g104	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1613129;1613802;1614118;1614491;1615291;1615737;1616005	1613549;1613957;1614238;1615094;1615476;1615802;1616178	+;+;+;+;+;+;+	1728	394	2729	2738	2748	1371	3237
g105	contig_35_pilon;contig_35_pilon;contig_35_pilon	1626666;1628078;1628779	1627356;1628648;1629265	+;+;+	1749	1760	1100	935	659	228	896
g106	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1667107;1667510;1667845;1668243;1668458;1668803;1669206;1669544;1670169;1670556	1667310;1667566;1667976;1668317;1668622;1669041;1669296;1669978;1670288;1671116	-;-;-;-;-;-;-;-;-;-	2079	1465	1224	1742	1193	876	2836
g107	contig_35_pilon;contig_35_pilon	1847478;1847834	1847554;1848065	+;+	309	2020	1784	1699	765	680	1054
g108	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	1855372;1856249;1856938;1857912;1858481;1858876	1855447;1856815;1857773;1858094;1858668;1859326	+;+;+;+;+;+	2301	3163	1563	1847	3946	2961	2440
g109	contig_35_pilon;contig_35_pilon	1951377;1952024	1951660;1952549	+;+	810	774	1048	1079	1138	996	1600
g110	contig_35_pilon;contig_35_pilon	1957104;1957952	1957188;1958325	-;-	459	10705	8198	10910	17487	16209	11918
g111	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2106503;2107264;2107631;2108249;2108707	2106724;2107495;2107838;2108498;2108823	-;-;-;-;-	1029	55	46	41	2	16	13
g112	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2213946;2214452;2214830;2215727	2214146;2214598;2215086;2215931	-;-;-;-	810	754	745	1062	1537	1020	1446
g113	contig_35_pilon;contig_35_pilon	2259530;2260538	2260181;2260689	-;-	804	9429	17186	18419	2755	2730	3626
g114	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2283092;2283579;2283866;2284295	2283376;2283716;2284008;2284730	+;+;+;+	1002	260	197	100	355	125	307
g115	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2328853;2329088;2329553;2329826;2330385	2328958;2329175;2329738;2329953;2330668	-;-;-;-;-	792	185	585	442	332	516	379
g116	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2340589;2341072;2341736;2342111;2342568	2340771;2341480;2341923;2342200;2343617	-;-;-;-;-	1920	322	258	229	190	215	238
g117	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2395836;2396295;2396831;2397144;2397462;2397848;2398536	2395925;2396368;2397002;2397308;2397569;2397957;2398785	-;-;-;-;-;-;-	969	992	780	770	1483	3139	1997
g118	contig_35_pilon;contig_35_pilon	2420164;2421189	2420986;2421748	-;-	1383	11763	12922	12702	3423	3295	4818
g119	contig_35_pilon;contig_35_pilon	2540529;2541743	2540940;2542248	+;+	918	434	337	313	142	76	442
g120	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2542974;2544220;2544475;2545009;2545750;2546052;2546385;2546584;2546880;2547341;2547732;2548135	2543776;2544309;2544789;2545219;2545825;2546131;2546480;2546655;2547077;2547543;2547912;2548698	-;-;-;-;-;-;-;-;-;-;-;-	2889	2241	1409	1367	489	349	1147
g121	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2558240;2559959;2560317;2560952	2558956;2560051;2560612;2561147	-;-;-;-	1302	452	1349	2411	141	43	203
g122	contig_35_pilon;contig_35_pilon	2596818;2597827	2597292;2598035	-;-	684	31667	9728	10760	8727	9872	12201
g123	contig_35_pilon;contig_35_pilon;contig_35_pilon;contig_35_pilon	2683596;2684024;2684521;2685178	2683805;2684181;2684634;2685448	-;-;-;-	753	2307	2036	2860	11608	23405	16050
